container_id,container_sku,container_type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,location_name,
1,20DCWWATL,20DC Wind and Water Tight Container,20DC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1850,GCE,30315,2025-05-30,,,,Atlanta,27
2,20DCCWATL,20DC Cargo Worthy Container,20DC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,2000,GCE,30315,2025-05-30,,,,Baltimore,27
3,20DCCLATL,20DC IICL Container,20DC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,2600,GCE,30315,2025-05-30,,,,Baltimore,27
4,20DCBNATL,20DC Brand New Container,20DC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,3100,GCE,30315,2025-05-30,,,,Calgary,27
5,20HCBNATL,20HC Brand New Container,20HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,4200,GCE,30315,2025-05-30,,,,Chicago,27
6,40DCWWATL,40DC Wind and Water Tight Container,40DC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,2200,GCE,30315,2025-05-30,,825,,Cincinnati,27
7,40DCCWATL,40DC Cargo Worthy Container,40DC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,2300,GCE,30315,2025-05-30,,,,Cleveland,27
8,40DCCLATL,40DC IICL Container,40DC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,3600,GCE,30315,2025-05-30,,,,Columbus,27
9,40DCBNATL,40DC Brand New Container,40DC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,4400,GCE,30315,2025-05-30,,,,Dallas,27
10,40HCWWATL,40HC Wind and Water Tight Container,40HC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,2500,GCE,30315,2025-05-30,,,,Denver,27
11,40HCCWATL,40HC Cargo Worthy Container,40HC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,2600,GCE,30315,2025-05-30,,,,Detroit,28
12,40HCCLATL,40HC IICL Container,40HC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,3500,GCE,30315,2025-05-30,,,,Edmonton,27
13,40HCBNATL,40HC Brand New Container,40HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,4300,GCE,30315,2025-05-30,,,,Halifax,27
14,45HCBNATL,45HC Brand New Container,45HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,11000,GCE,30315,2025-05-30,,,,Houston,27
15,53HCBNATL,53HC Brand New Container,53HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,18500,GCE,30315,2025-05-30,,,,Indianapolis,27
16,20SDBNATL,20DC Brand New Side Door Container,20DC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,5200,GCE,30315,2025-05-30,,,,Jacksonville,27
17,40HCSDBNATL,40HC Brand New Side Door Container,40HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,7000,GCE,30315,2025-05-30,,,,Kansas,27
18,20DDBNATL,20DC Brand New Double Door Container,20DC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,4200,GCE,30315,2025-05-30,,,,Los Angeles,27
19,40HCDDBNATL,40HC Brand New Double Door Container,40HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,5200,GCE,30315,2025-05-30,,,,Louisville,27
20,40HCRFASATL,40HC AS-IS Refrigerated Container,40HC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,4200,GCE,30315,2025-05-30,,,,Memphis,27
