Country,City,Code,Depot Name,Address (Short),Latitude,Longitude,,
Denmark,Aarhus,AARA,Container Care A/S,"Beta 5, DK-8382 Hinnerup, Denmark",56.247,10.0532,,
Australia,Adelaide,ADL06,Medlog Australia Pty Ltd,"2 Elder Road, Largs North SA 5016, Australia",-34.8256,138.4911,,
Australia,Adelaide,ADLD,ACFS Port Logistics PTY LTD,"4 Martin Avenue, Gillman SA 5013, Australia",-34.8473,138.5263,,
Australia,Adelaide,ADLQ,Qube Logistics ADL,"Coghlan Road, Outer Harbor SA 5018, Australia",-34.7831,138.4867,,
New Zealand,Auckland,AKLCC,Jellicoe Container Park - Container Co AKL,"81 Jellicoe Rd, Panmure, Auckland 1072, New Zealand",-36.8996,174.8563,,
New Zealand,Auckland,AKLH,Metrobox Limited,"21A Savill Drive, Otahuhu, Auckland 2024, New Zealand",-36.9501,174.8416,,
New Zealand,Auckland,AKLI,Container Repairs & Sales Limited,"5/21 Morrin Road, Panmure, Auckland, New Zealand",-36.8971,174.8522,,
Spain,Algeciras,ALGA,Tecnica Y Manutencion (TYMSA/SAM Algeciras),"Ctra Cadiz-Malaga Numbr 1 (KM.110), Cadiz, 11203 Algerciras",36.1679,-5.4486,,
Chile,Antofagasta,ANFST,Sitrans Antofagasta,"Barrio Industrial, La Negra, Sitio 2 N° 50, Ruta del Cobre",-23.6017,-70.3953,,
Belgium,Antwerp,ANR15,ITACT NV,"Luithagen haven 18, 2030 Antwerp, Belgium",51.2856,4.3908,,
Belgium,Antwerp,ANRD,Mega Industrial Engineering,"Treurenborg 7, 2030 Antwerpen, Belgium",51.2563,4.4326,,
Belgium,Antwerp,ANRK,DR Depots Antwerp (Zwennis),"Muisbroeklaan 34A, 2030 Antwerp, Belgium",51.2782,4.3887,,
Belgium,Antwerp,ANRN,Antwerp Container Repair NV,"Kaai 1333, Beveren - Verrebroek, 9130 Antwerp, Belgium",51.3317,4.228,,
Belgium,Antwerp,ANRQ,Antwerp Container Company,"Quay 234 – Kragenweg 4, 2030 Antwerp, Belgium",51.2732,4.3729,,
Belgium,Antwerp,ANRQT,ACC – Triton depot,"Mannheimweg 1 – Quay 246, 2030 Antwerp, Belgium",51.2825,4.3761,,
Belgium,Antwerp,ANRT,CCIS Belgium,"Antwerpsebaan 13, kaai 708, 2040 Antwerp, Belgium",51.2878,4.354,,
Chile,Arica,ARIST,Sitrans Arica,"Avenida Argentina 3041, Barrio Industrial, Arica, Chile",-18.4856,-70.3201,,
Canada,Calgary,CGAA,Overland Container Transportation,"6620 86th Avenue S.E., Calgary AB, T2C 2S3, Canada",50.9817,-113.9382,,
Mexico,Altamira,ATMA,"Container-Care De Mexico, S.A.","Golfo de California S/N, Puerto de Altamira",22.4,-97.9167,,
Canada,Edmonton,EDME,Overland Container Transportation Services,"26550 Acheson Road, Acheson, AB",53.5424,-113.8062,,
Spain,Barcelona,BCND,Progeco Espana S.A.,"Puerto de Barcelona, 08039 Barcelona",41.3387,2.1369,,
UK,Birmingham,BHMA,S. Jones (Aldridge) Ltd.,"Linley Works, Anglian Road, Aldridge, Staffs",52.6053,-1.937,,
Spain,Bilbao,BIOA,Progeco Bilbao S.A.,"Puerto de Bilbao, Santurtzi, Bizkaia",43.3325,-3.025,,
Spain,Bilbao,BIOB,Tucabi Container S.L.,"Barrio Arriaga Sakoni 14, Erandio, Vizcaya",43.3095,-2.9755,,
Thailand,Bangkok,BKK02,"Srithai Freight Forwarder Co., Ltd.","5 Motorway Road (KM 18), Lat Krabang",13.7229,100.7895,,
Thailand,Bangkok,BKKC,Thai Eng Kong Container,"65 Moo 8 Bangchalong Bangplee, Samutprakarn",13.5951,100.6977,,
Thailand,Bangkok,BKKD,"FMC Services Co., Ltd.","582 Moo 1, Tumbon Srisajorakeyai, Bangsaothong",13.5833,100.7833,,
Thailand,Bangkok,BKKGF,Greating Fortune Container Service,"10 Moo 12 Sukhaphiban 6 road, Bangplee Yai",13.6083,100.717,,
Thailand,Bangkok,BKKM,Star Pacific Container Services,"60/3 Moo13, Bangna-Trad Km.9 Rd, Bangplee Yai",13.6136,100.7047,,
Indonesia,Belawan,BLWB,Pt. Mitra Jaya Bahari,"Jl. Raya Pelabuhan Gabion KM.0, Belawan",3.789,98.6931,,
Australia,Brisbane,BNED,ACFS Port Logistics PTY LTD,"Bishop Drive, Fisherman Islands, Wynnum",-27.3838,153.1872,,
Australia,Brisbane,BNEDEL,ACFS - E Link,"2-6 Bishop Drive, Brisbane",-27.383,153.186,,
Australia,Brisbane,BNEG,Tyne Container Services (QLD),"80 Canberra Street, Hemmant",-27.4322,153.124,,
Australia,Brisbane,BNEH,Qube Logistics,"14A Bingera Drive, Port of Brisbane",-27.3999,153.1643,,
France,Bordeaux,BODB,CCIS France - Bordeaux,"Zone Bordeaux Fret, Bruges",44.8892,-0.5799,,
Italy,Bologna,BOLA,Interporto Bologna SPA,"Interporto Bologna, Bentivoglio",44.622,11.3767,,
India,Mumbai,BOM13,YNV Consolidators,"Koproli, Uran Road, Mumbai",18.8829,72.9366,,
India,Mumbai,BOMC,Bay Container Terminal Pvt.,"Panvel Panjim Hwy, Shirdon, Raigad",18.9906,73.1161,,
India,Mumbai,BOMEFC,EFC Logistics India Pvt Ltd,"Veshvi, Uran, Mumbai",18.8239,72.957,,
Germany,Bremen,BRE04,Remain Gmbh Container-Depot & Repair,"Ludwig-Erhard-Str15, Bremen",53.0868,8.7818,,
Germany,Bremerhaven,BRV01,Atlantik Hafenbetriebe,"AM Nordhafen 2, Bremerhaven",53.5737,8.5622,,
Switzerland,Basle,BSLC,Contargo AG,"Grenzstrasse 149, Basel",47.5896,7.5766,,
Argentina,Buenos Aires,BUED,Hiperbaires SRL,"Ayolas y Sande s/n, Dock Sud Avellaneda",-34.6548,-58.3481,,
Korea,Busan,BUS22,Clean Sea Terminal Korea,"1416 CHEUNGSAN-RI, Yangsan-si",35.3386,129.0312,,
Korea,Busan,BUSF,Kukdong Total Logistics - Nam-gu Location,"255 Chungjang-daero, Dong-gu, Busan",35.1332,129.0597,,
Korea,Busan,BUSG,"Coolstar Co., Ltd.","294 Sinseon-ro, Nam Gu, Busan",35.1296,129.0848,,
Korea,Busan,BUSP,"New Daewon Co., Ltd","255 Chungjang-daero, Dong-gu, Busan",35.1332,129.0597,,
Korea,Busan,BUSQ,"DaeHo CTS Co., Ltd.","1336 Yongwon-dong, Jinhae-gu, Changwon",35.1506,128.6591,,
Korea,Busan,BUSS,"Seyang Logistics Co., Ltd. - Gangseo-gu","15-78 Sinhang 5-ro, Jinhae-gu, Changwon-si",35.1467,128.66,,
Korea,Busan,BUST,Hanta Logistics Corp.,"197-1 Garak-daero, Gangseo-gu, Busan",35.0986,128.9381,,
Netherlands,Bergen op Zoom,BZNA,BTT Multimodal Container Solutions B.v.,"Konijnenburgweg 56, Bergen op Zoom",51.5028,4.2881,,
Peru,Callao,CALC,Inversiones Maritimas,"Av. Nestor Gambetta 5502, Callao",-12.0117,-77.1355,,
Sri Lanka,Colombo,CBOA,McLarens Containers (Pvt) Ltd.,"776 Negombo Road, Welisara",7.0281,79.9026,,
India,Kolkata,CCUA,Bay Container Terminal Pvt.,"Dhobitalao Container Park, Calcutta",22.538,88.3055,,
China,Chengdu,CDUB,Shenzhen G-Fortune Depot,"Chengxiang town, Qingbaijiang district, Chengdu",30.693,104.252,,
Canada,Halifax,HALA2,Hunts Refrigeration,"890 Old Sambro Rd, Harrietsfield, NS",44.5488,-63.6705,,
Canada,Halifax,HALA,CTS Container & Trailer Service Ltd.,"33 Macdonald Avenue, Dartmouth, NS",44.6826,-63.5862,,
New Zealand,Christchurch,CHCB,LPC City Depot,"41 Chapmans Road, Woolston, Christchurch",-43.5584,172.6892,,
New Zealand,Christchurch,CHCG,SCS Christchurch,"End of Kennaway Road, Woolston, Christchurch",-43.5585,172.7011,,
Canada,Montreal,MONB,G.T. Container Services,"10,000 Maurice-Duplessis, Montreal, QC",45.6279,-73.5904,,
Canada,MONG,Ray-Mont Logistics,"5227 rue Notre-Dame Est, Montreal, QC",45.5402,-73.5338,,,
Canada,Toronto,TORI,Seatainer Terminals,"7050 Major MacKenzie Drive West, Kleinburg, ON",43.8571,-79.6056,,
Canada,Vancouver,VAND,Coast 2000 Terminals Ltd.,"16080 Portside Road, Richmond, BC",49.1673,-123.066,,
Canada,Saskatoon,SASK,Sea Can Sam,"12 Peters Ave, Martensville, SK",52.3263,-106.6686,,
USA,Atlanta,ATLB,ConGlobal Industries,"465 Sawtell Ave., Atlanta, GA 30315",33.7009,-84.3795,,
USA,Baltimore,BALA,"Picorp, Inc. Baltimore","6508 East Lombard Street, Baltimore, MD 21224",39.2869,-76.5376,,
USA,Chicago,CHIB,ConGlobal Industries - Forestview,"6401 W. 46th Street, Forestview, IL 60402",41.8106,-87.7799,,
