depot_name,container_type,container_condition,quantity,price,sku,latitude,longitude,address,city,state,postal_code,country
Dallas Depot,10DC Brand New Container,Brand New,1,1,10DCBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC AS-IS Container,AS IS ,1,1,20DCASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Wind and Water Tight Container,Wind and Water Tight,1,1,20DCWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Cargo Worthy Container,Cargo Worthy ,1,1,20DCCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC IICL Container,IICL,1,1,20DCCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Brand New Container,Brand New,1,1,20DCBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20HC AS-IS Container,AS IS ,1,1,20HCASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20HC Wind and Water Tight Container,Wind and Water Tight,1,1,20HCWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20HC Cargo Worthy Container,Cargo Worthy ,1,1,20HCCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20HC IICL Container,IICL,1,1,20HCCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20HC Brand New Container,Brand New,1,1,20HCBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40DC AS-IS Container,AS IS ,1,1,40DCASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40DC Wind and Water Tight Container,Wind and Water Tight,1,1,40DCWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40DC Cargo Worthy Container,Cargo Worthy ,1,1,40DCCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40DC IICL Container,IICL,1,1,40DCCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40DC Brand New Container,Brand New,1,1,40DCBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC AS-IS Container,AS IS ,1,1,40HCASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC Wind and Water Tight Container,Wind and Water Tight,1,1,40HCWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC Cargo Worthy Container,Cargo Worthy ,1,1,40HCCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC IICL Container,IICL,1,1,40HCCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC Brand New Container,Brand New,1,1,40HCBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,45HC AS-IS Open Top Container,AS IS ,1,1,45HCASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,45HC Wind and Water Tight Container,Wind and Water Tight,1,1,45HCWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,45HC Cargo Worthy Container,Cargo Worthy ,1,1,45HCCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,45HC IICL Container,IICL,1,1,45HCCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,45HC Brand New Container,Brand New,1,1,45HCBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,53HC AS-IS Open Top Container,AS IS ,1,1,53HCASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,53HC Wind and Water Tight Container,Wind and Water Tight,1,1,53HCWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,53HC Cargo Worthy Container,Cargo Worthy ,1,1,53HCCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,53HC IICL Container,IICL,1,1,53HCCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,53HC Brand New Container,Brand New,1,1,53HCBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC AS-IS Side Door Container,AS IS ,1,1,20SDASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Wind and Water Tight  Side Door Container,Wind and Water Tight,1,1,20SDWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Cargo Worthy Side Door Container,Cargo Worthy ,1,1,20SDCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC IICL Side Door Container,IICL,1,1,20SDCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Brand New Side Door Container,Brand New,1,1,20SDBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC AS-IS Side Door Container,AS IS ,1,1,40HCSDASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC Wind and Water Tight  Side Door Container,Wind and Water Tight,1,1,40HCSDWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC Cargo Worthy Side Door Container,Cargo Worthy ,1,1,40HCSDCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC IICL Side Door Container,IICL,1,1,40HCSDCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC Brand New Side Door Container,Brand New,1,1,40HCSDBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC AS-IS Double Door Container,AS IS ,1,1,20DDASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Wind and Water Tight  Double Door Container,Wind and Water Tight,1,1,20DDWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Cargo Worthy Double Door Container,Cargo Worthy ,1,1,20DDCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC IICL Double Door Container,IICL,1,1,20DDCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Brand New Double Door Container,Brand New,1,1,20DDBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC AS-IS Double Door Container,AS IS ,1,1,40HCDDASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC Wind and Water Tight  Double Door Container,Wind and Water Tight,1,1,40HCDDWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC Cargo Worthy Double Door Container,Cargo Worthy ,1,1,40HCDDCWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC IICL Double Door Container,IICL,1,1,40HCDDCLDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,40HC Brand New Double Door Container,Brand New,1,1,40HCDDBNDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC AS-IS Refrigerated Container,AS IS ,1,1,20RFASDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
Dallas Depot,20DC Wind and Water Tight Refrigerated Container,Wind and Water Tight,1,1,20RFWWDAL,32.6439,-96.7075,1141 East Fulghum Rd ,Hutchins,TX,75141,USA
