container_id,container_sku,Type,container_size,container_condition,location_name,latitude,longitude,available_date,price_usd,owner_id,zip_code,last_inspection_date,,,,,,,,
1,20DCASATL,Standard Container,20DC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
2,20DCWWATL,Standard Container,20DC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
3,20DCCWATL,Standard Container,20DC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
4,20DCCLATL,Standard Container,20DC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
5,20DCBNATL,Standard Container,20DC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
6,20HCASATL,Standard Container,20HC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
7,20HCWWATL,Standard Container,20HC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
8,20HCCWATL,Standard Container,20HC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
9,20HCCLATL,Standard Container,20HC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
10,20HCBNATL,Standard Container,20HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
11,40DCASATL,Standard Container,40DC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,PW
12,40DCWWATL,Standard Container,40DC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,Double Door Container
13,40DCCWATL,Standard Container,40DC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,Refrigerated Container
14,40DCCLATL,Standard Container,40DC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
15,40DCBNATL,Standard Container,40DC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
16,40HCASATL,Standard Container,40HC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
17,40HCWWATL,Standard Container,40HC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
18,40HCCWATL,Standard Container,40HC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
19,40HCCLATL,Standard Container,40HC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
20,40HCBNATL,Standard Container,40HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
21,45HCASATL,Open Top Container,45HC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
22,45HCWWATL,Standard Container,45HC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
23,45HCCWATL,Standard Container,45HC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
24,45HCCLATL,Standard Container,45HC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
25,45HCBNATL,Standard Container,45HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
26,53HCASATL,Open Top Container,53HC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
27,53HCWWATL,Standard Container,53HC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
28,53HCCWATL,Standard Container,53HC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
29,53HCCLATL,Standard Container,53HC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
30,53HCBNATL,Standard Container,53HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
31,20SDASATL,Side Door Container,20DC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
32,20SDWWATL,Side Door Container,20DC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
33,20SDCWATL,Side Door Container,20DC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
34,20SDCLATL,Side Door Container,20DC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
35,20SDBNATL,Side Door Container,20DC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
36,40HCSDASATL,Side Door Container,40HC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
37,40HCSDWWATL,Side Door Container,40HC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
38,40HCSDCWATL,Side Door Container,40HC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
39,40HCSDCLATL,Side Door Container,40HC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
40,40HCSDBNATL,Side Door Container,40HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
41,20DDASATL,Double Door Container,20DC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
42,20DDWWATL,Double Door Container,20DC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
43,20DDCWATL,Double Door Container,20DC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
44,20DDCLATL,Double Door Container,20DC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
45,20DDBNATL,Double Door Container,20DC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
46,40HCDDASATL,Double Door Container,40HC,AS IS ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
47,40HCDDWWATL,Double Door Container,40HC,Wind and Water Tight,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
48,40HCDDCWATL,Double Door Container,40HC,Cargo Worthy ,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
49,40HCDDCLATL,Double Door Container,40HC,IICL,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
50,40HCDDBNATL,Double Door Container,40HC,Brand New,Atlanta,33.7030445,-84.3882896,2025-05-30,1,GCE,30315,2025-05-30,,,,,,,,
