ORIGIN,DESTINATION,Container Size,Price,Free Days,Per Diem
Zhengzhou,Istanbul,40HC,"$1,550",60,$10.00
Zhengzhou,"Denver, CO",40HC,$825,60,$10.00
Xian,Praha,40HC,"$1,100",60,$10.00
Xiamen,Jebel Ali,40HC,$140,60,$10.00
Wuhan,Malaszewicze,40HC,"$1,460",60,$10.00
Vladivostok,Ho Chi Minh City,40HC,$100,60,$10.00
Tianjinxingang,"Montreal, QC",40HC,$600,60,$10.00
Tianjin,"Tacoma, WA",40HC,$810,60,$10.00
Taicang,"Saint Louis, MO",40HC,$790,60,$10.00
Surabaya,Novosibirsk,40HC,"$1,120",60,$10.00
Surabaya,Krasnojarsk,40HC,"$1,120",60,$10.00
Shekou,Karachi,40HC,$150,60,$10.00
Shantou,Jebel Ali,40HC,$260,60,$10.00
Shanghai,"Memphis, TN",40HC,$825,60,$10.00
Shanghai,Karachi,40HC,$190,60,$10.00
Rotterdam,Jebel Ali,40HC,$100,60,$10.00
Port Kelang,Rotterdam,40HC,"$1,130",60,$10.00
Port Kelang,"Miami, FL",40HC,$820,60,$10.00
Port Kelang,Le Havre,40HC,"$1,200",60,$10.00
Port Kelang,Antwerp,40HC,"$1,530",60,$10.00
Ningbo,Istanbul,40HC,"$1,995",60,$10.00
Nhava Sheva,Hamburg,40HC,"$1,130",60,$10.00
Mundra,Novorossiysk,40HC,$960,60,$10.00
Mundra,Duisburg,40HC,$480,60,$10.00
Moscow,Houston,40HC,$210,60,$10.00
Moscow,Bangkok,40HC,$200,60,$10.00
Laem Chabang,"Dallas, TX",40HC,$260,60,$10.00
Karachi,Tianjin,40HC,$20,60,$10.00
Karachi,Shenzhen,40HC,$20,60,$10.00
Jebel Ali,Mundra,40HC,$160,60,$10.00
Jebel Ali,Karachi,40HC,$100,60,$10.00
Jebel Ali,Cochin,40HC,$200,60,$10.00
Istanbul,"Yekaterinburg, Sve",40HC,$290,60,$10.00
Istanbul,Qingdao,40HC,$580,60,$10.00
Istanbul,Novorossiysk,40HC,$290,60,$10.00
Istanbul,Moscow,40HC,$500,60,$10.00
Dalian,Nhava Sheva,40HC,$140,60,$10.00
Chengdu,Milano,40HC,"$1,700",60,$10.00
Yantian,"Tacoma, WA",20GP,$360,75,$5.00
Yantian,Southampton,40GP,"$1,450",75,$10.00
"Busan, Korea",Qingdao,40HC,$100,60,$10.00
Bangkok,Vladivostok,40HC,"$1,420",60,$10.00
Bangkok,"Denver, CO",40HC,$240,60,$10.00
Bangkok,"Dallas, TX",40HC,$290,60,$10.00
Yantian,Rotterdam,40GP,"$1,450",60,$10.00
Yantian,Novosibirsk,40GP,"$1,240",75,$10.00
Yantian,"New York, NY",20GP,$320,75,$5.00
Shanghai,Hamburg,40HC,$970,60,$10.00
Yantian,"New Orleans, LA",20GP,$445,75,$5.00
Shanghai,Duisburg,40HC,"$1,040",60,$10.00
Ningbo,Duisburg,40HC,"$1,075",60,$10.00
Gebze,Shanghai,40HC,$553,60,$10.00
Yantian,"Memphis, TN",20GP,$400,75,$5.00
Yantian,Malaszewicze,40GP,"$1,370",60,$10.00
Yantian,"Los Angeles, CA",20GP,$420,75,$5.00
Chongqing,"Yekaterinburg, Sve",40HC,"$2,170",60,$10.00
Chengdu,Malaszewicze,40HC,"$1,643",60,$10.00
Chengdu,Lodz,40HC,"$1,750",60,$10.00
Yantian,Istanbul,40GP,"$1,450",60,$10.00
Changsha,Malaszewicze,40HC,"$1,615",60,$10.00
Yantian,Houston,20GP,$695,75,$5.00
Yantian,Hamburg,40GP,"$1,450",60,$10.00
Zhengzhou,Southampton,40HC,"$2,110",60,$10.00
Zhengzhou,Liverpool,40HC,"$2,110",60,$10.00
Yantian,"El Paso, TX",20GP,$360,60,$5.00
Yantian,"Edmonton, AB",20GP,$210,75,$5.00
Zhengzhou,Helsinki,40HC,"$1,760",60,$10.00
Zhengzhou,Gdansk,40HC,"$2,210",60,$10.00
Yantian,"Denver, CO",20GP,$360,60,$5.00
Zhengzhou,Duisburg,40HC,"$1,050",60,$10.00
Yantian,"Dallas, TX",20GP,$260,75,$5.00
Zhengzhou,Budapest,40HC,"$2,080",60,$10.00
Zhengzhou,Aarhus,40HC,"$2,280",60,$10.00
"Yekaterinburg, Sve",Nhava Sheva,40HC,$100,60,$10.00
"Yekaterinburg, Sve",Izmir,40HC,$290,60,$10.00
Yantian,"Charleston, SC",20GP,$360,75,$5.00
Yantian,"Calgary, AB",20GP,$275,75,$5.00
Yantian,Budapest,40GP,"$1,510",60,$10.00
"Yekaterinburg, Sve",Chennai,40HC,$100,60,$10.00
Yantian,"Long Beach, CA",40HC,$900,60,$10.00
Yantian,"Kansas City, KS",40HC,$660,60,$10.00
Yantian,"Atlanta, GA",20GP,$330,75,$5.00
Yantian,Antwerp,40GP,"$1,450",60,$10.00
Xian,"Yekaterinburg, Sve",40GP,"$1,070",60,$10.00
Yantian,"Jacksonville, FL",40HC,$900,60,$10.00
Xian,St Petersburg,40GP,$900,60,$10.00
Yantian,Houston,40HC,$630,60,$10.00
Yantian,"Halifax, NS",40HC,$480,60,$10.00
Yantian,"El Paso, TX",40HC,$540,60,$10.00
Yantian,"Detroit, MI",40HC,"$1,090",60,$10.00
Yantian,"Dallas, TX",40HC,$840,60,$10.00
Xian,Novosibirsk,40GP,$980,60,$10.00
Yantian,"Columbus, OH",40HC,$900,60,$10.00
Xian,Moscow,40GP,"$1,150",60,$10.00
Xian,Minsk,40GP,"$1,250",60,$10.00
Yantian,"Cleveland, OH",40HC,$900,60,$10.00
Xian,Malaszewicze,40GP,"$1,300",60,$10.00
Yantian,"Charleston, SC",40HC,"$1,400",60,$10.00
Yantian,Budapest,40HC,"$1,550",60,$10.00
Yantian,"Baltimore, MD",40HC,$900,60,$10.00
Yantian,"Atlanta, GA",40HC,$900,60,$10.00
Xian,Krasnojarsk,40GP,"$1,150",60,$10.00
Xian,Southampton,40HC,"$1,900",60,$10.00
Xian,Rotterdam,40HC,"$1,730",60,$10.00
