COUNTRY,CITY,Size and Type,Price
Australia,Adelaide,40HC New,4345
Australia,Brisbane,40HC New,3805
Australia,Fremantle,40HC New,4075
Australia,Melbourne,40HC New,3890
Australia,Sydney,40HC New,3856.67
Austria,Vienna,40HC New,2815
Bangladesh,Chittagong,40HC New,3760
Belarus,Minsk,40HC New,2010
Belgium,Antwerp,40HC New,3250
Brazil,Santos,40HC New,3050
Brazil,Paranagua,40HC New,4045
Cambodia,Phnom Penh,40HC New,3585
Canada,"Calgary, AB",40HC New,3310
Canada,"Edmonton, AB",40HC New,3550
Canada,"Halifax, NS",40HC New,4350
Canada,"Montreal, QC",40HC New,3265
Canada,"Toronto, ON",40HC New,3085
Canada,"Vancouver, BC",40HC New,3695
Canada,"Winnipeg, MB",40HC New,3750
Chile,Santiago,40HC New,3465
Chile,Valparaiso,40HC New,2400
China,Dalian,40HC New,3955
China,Fuzhou,40HC New,4345
China,Guangzhou,40HC New,3805
China,Hong Kong,40HC New,4075
China,Huangpu,40HC New,3890
China,Lianyungang,40HC New,3856.67
China,Nansha,40HC New,4345
China,Qingdao,40HC New,3690
China,Shanghai,40HC New,3745
China,Shekou,40HC New,3535
China,Shenzhen,40HC New,3855
China,Tianjin,40HC New,3510
China,Xiamen,40HC New,3755
China,Ningbo,40HC New,3950
China,Chengdu,40HC New,2890
China,Hong Kong,40HC New,2565
China,Huangpu,40HC New,2815
China,Nanjing,40HC New,2910
China,Yantian,40HC New,3965
Costa Rica,Limon,40HC New,4075
Denmark,Aarhus,40HC New,3600
Denmark,Copenhagen,40HC New,2400
England,Leeds,40HC New,3550
England,London,40HC New,2970
Estonia,Tallin,40HC New,4075
Finland,Helsinki,40HC New,3135
Finland,Kotka,40HC New,4075
Finland,Rauma,40HC New,4355
France,Dunkerque,40HC New,2565
France,Fos Sur Mer,40HC New,3115
France,Le Havre,40HC New,3580
France,Lyon,40HC New,2425
France,Marseille,40HC New,2890
France,Rouen,40HC New,1530
France,Bordeaux,Dunkerque,3905
France,Marseille,40HC New,2400
Georgia,Poti,40HC New,4075
Germany,Bremen,40HC New,1690
Germany,Duisburg,40HC New,2565
Germany,Hamburg,40HC New,2815
Germany,Mannheim,40HC New,2890
Germany,Ludwigshafen,40HC New,4075
Germany,Munich,40HC New,3350
Greece,Piraeus,40HC New,2810
Hungary,Budapest,40HC New,2865
India,Delhi,40HC New,3745
India,Kolkata(Calcutta),40HC New,4180
India,Mundra,40HC New,3046
India,Nhava Sheva,40HC New,3150
India,Chennai,40HC New,3745
India,Kolkata(Calcutta),40HC New,3535
India,Mumbai,40HC New,3855
India,Mundra,40HC New,3510
India,New Delhi ,40HC New,3755
India,Tuticorin,40HC New,3600
Indonesia,Belawan,40HC New,4040
Indonesia,Jakarta,40HC New,3965
Indonesia,Semarang,40HC New,3920
Indonesia,Surabaya,40HC New,4010
Israel,Ashdod,40HC New,3400
Italy,Genoa,40HC New,3470
Italy,La Spezia,40HC New,1720
Italy,Livorno,40HC New,3760
Italy,Milan,40HC New,3920
Italy,Modena,40HC New,4045
Italy,Padova,40HC New,3465
Italy,Trieste,40HC New,2400
Italy,Venice,40HC New,4075
Japan,Kobe,40HC New,4180
Japan,Yokohama,40HC New,2350
Japan,Hakata,40HC New,3550
Japan,Kobe,40HC New,2970
Japan,Nagoya,40HC New,3135
Japan,Osaka,40HC New,2565
Japan,Tokyo,40HC New,3115
Kazakhstan,Almaty,40HC New,3550
Kazakhstan,Tashkent,40HC New,4045
Kenya,Mombasa,40HC New,3850
Kenya,Nairobi,40HC New,4075
Malaysia,Penang,40HC New,3585
Malaysia,Port Kelang,40HC New,3945
Malaysia,Johar,40HC New,3585
Mexico,Altamira,40HC New,4355
Mexico,Manzanillo,40HC New,3905
Mexico,Mexico City,40HC New,3350
Mexico,Veracruz,40HC New,3920
Morocco,Casablanca,40HC New,4075
Netherlands,Rotterdam,40HC New,4355
New Zealand,Tauranga,40HC New,4045
New Zealand,Auckland,40HC New,4345
New Zealand,Tauranga,40HC New,3690
Oman,Sohar,40HC New,3580
Pakistan,Karachi,40HC New,2663.33
Peru,Callao,40HC New,3700
Philippines,Manila,40HC New,4270
Poland,Gdansk,40HC New,2660
Poland,Warsaw,40HC New,2350
Poland,Gdynia,40HC New,3905
Portugal,Leixoes,40HC New,4540
Portugal,Lisboa,40HC New,4540
Portugal,Leixoes,40HC New,3350
Portugal,Setubal,40HC New,3920
Republic of Ireland,Dublin,40HC New,3015
Romania,Constanta,40HC New,4045
Russia,Moscow,40HC New,1220
Russia,St Petersburg,40HC New,2130
Russia,Vladivostok,40HC New,2390
Russia,"Yekaterinburg, Sve",40HC New,1990
Saudi Arabia,Jeddah,40HC New,2420
Singapore,Singapore,40HC New,4620
South Africa,Durban,40HC New,4820
South Africa,Johannesburg,40HC New,4825
South Africa,Cape Town,40HC New,3350
South Africa,Port Elizabeth,40HC New,3465
South Korea,Busan,40HC New,2770
South Korea,Gwangyang,40HC New,4010
South Korea,Inchoen,40HC New,3400
South Korea,Seoul,40HC New,3470
Spain,Arquata Scrivia,40HC New,4150
Spain,Barcelona,40HC New,4040
Spain,Bilbao,40HC New,4300
Spain,Madrid,40HC New,3910
Spain,Valencia (Spain),40HC New,3600
Spain,Algeciras,40HC New,3465
Spain,Barcelona,40HC New,2400
Spain,Bilbao,40HC New,4075
Spain,Madrid,40HC New,4075
Spain,Valencia ,40HC New,2010
Sweden,Gothenburg,40HC New,2640
Sweden,Norrkoping,40HC New,3250
Switzerland,Basle,40HC New,3050
Taiwan,Kaohsiung,40HC New,4045
Taiwan,Keelung,40HC New,4180
Taiwan,Taichung,40HC New,4210
Tamil Nadu,Chennai,40HC New,2415
Thailand,Bangkok,40HC New,4550
Thailand,Laem Chabang,40HC New,4370
Turkey,Istanbul,40HC New,4055
Turkey,Mersin,40HC New,3210
Turkey,Gebze,40HC New,3585
Turkey,Mersin,40HC New,3310
United Arab Emirates,Dubai,40HC New,4330
United Arab Emirates,Jebel Ali,40HC New,3370
United Kingdom,Southampton,40HC New,3655
United Kingdom,Belfast,40HC New,3550
United Kingdom,Birmingham ,40HC New,4350
United Kingdom,Doncaster,40HC New,3265
United Kingdom,Glasgow,40HC New,3085
United Kingdom,Leeds,40HC New,3695
United Kingdom,Liverpool,40HC New,3750
United Kingdom,London,40HC New,3955
United States,"Atlanta, GA",40HC New,3575
United States,"Baltimore, MD",40HC New,3550
United States,"Boston, MA",40HC New,4215
United States,"Charleston, SC",40HC New,3345
United States,"Charlotte, NC",40HC New,3810
United States,"Chicago, IL",40HC New,3300
United States,"Cincinnati, OH",40HC New,3540
United States,"Cleveland, OH",40HC New,3580
United States,"Columbus, OH",40HC New,3595
United States,"Dallas, TX",40HC New,3745
United States,"Denver, CO",40HC New,4025
United States,"Detroit, MI",40HC New,3060
United States,"El Paso, TX",40HC New,3790
United States,Houston,40HC New,3525
United States,"Jacksonville, FL",40HC New,3620
United States,"Kansas City, KS",40HC New,3485
United States,"Long Beach, CA",40HC New,3530
United States,"Los Angeles, CA",40HC New,3585
United States,"Memphis, TN",40HC New,3725
United States,"Miami, FL",40HC New,3660
United States,"Minneapolis, MN",40HC New,3660
United States,"Mobile, AL",40HC New,3835
United States,"Nashville, TN",40HC New,3995
United States,"New Orleans, LA",40HC New,4840
United States,"New York, NY",40HC New,3430
United States,"Norfolk, VA",40HC New,3355
United States,"Oakland, CA",40HC New,3660
United States,"Omaha, NE",40HC New,3585
United States,"Phoenix, AZ",40HC New,4355
United States,"Salt Lake City, UT",40HC New,3905
United States,"Savannah, GA",40HC New,3350
United States,"Seattle, WA",40HC New,3920
United States,"Tampa, FL",40HC New,4045
United States,"Indianapolis, IN",40HC New,3465
Vietnam,Haiphong,40HC New,2400
Vietnam,Ho Chi Minh City,40HC New,4075
Australia,Adelaide,40HC IICL,3995
Australia,Brisbane,40HC IICL,3455
Australia,Fremantle,40HC IICL,3725
Australia,Melbourne,40HC IICL,3540
Australia,Sydney,40HC IICL,3506.67
Austria,Vienna,40HC IICL,2465
Bangladesh,Chittagong,40HC IICL,3410
Belarus,Minsk,40HC IICL,1660
Belgium,Antwerp,40HC IICL,2900
Brazil,Santos,40HC IICL,2700
Brazil,Paranagua,40HC IICL,3695
Cambodia,Phnom Penh,40HC IICL,3235
Canada,"Calgary, AB",40HC IICL,2960
Canada,"Edmonton, AB",40HC IICL,3200
Canada,"Halifax, NS",40HC IICL,4000
Canada,"Montreal, QC",40HC IICL,2915
Canada,"Toronto, ON",40HC IICL,2735
Canada,"Vancouver, BC",40HC IICL,3345
Canada,"Winnipeg, MB",40HC IICL,3400
Chile,Santiago,40HC IICL,3115
Chile,Valparaiso,40HC IICL,2050
China,Dalian,40HC IICL,3605
China,Fuzhou,40HC IICL,3995
China,Guangzhou,40HC IICL,3455
China,Hong Kong,40HC IICL,3725
China,Huangpu,40HC IICL,3540
China,Lianyungang,40HC IICL,3506.67
China,Nansha,40HC IICL,3995
China,Qingdao,40HC IICL,3340
China,Shanghai,40HC IICL,3395
China,Shekou,40HC IICL,3185
China,Shenzhen,40HC IICL,3505
China,Tianjin,40HC IICL,3160
China,Xiamen,40HC IICL,3405
China,Ningbo,40HC IICL,3600
China,Chengdu,40HC IICL,2540
China,Hong Kong,40HC IICL,2215
China,Huangpu,40HC IICL,2465
China,Nanjing,40HC IICL,2560
China,Yantian,40HC IICL,3615
Costa Rica,Limon,40HC IICL,3725
Denmark,Aarhus,40HC IICL,3250
Denmark,Copenhagen,40HC IICL,2050
England,Leeds,40HC IICL,3200
England,London,40HC IICL,2620
Estonia,Tallin,40HC IICL,3725
