container_id,container_type,condition,location_code,location_name,latitude,longitude,available_date,price_usd,owner_id,special_features,last_inspection_date
10DCBNDAL,10DC Brand New Container,Brand New,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20DCASDAL,20DC AS-IS Container,AS IS ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20DCWWDAL,20DC Wind and Water Tight Container,Wind and Water Tight,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20DCCWDAL,20DC Cargo Worthy Container,Cargo Worthy ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20DCCLDAL,20DC IICL Container,IICL,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20DCBNDAL,20DC Brand New Container,Brand New,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20HCASDAL,20HC AS-IS Container,AS IS ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20HCWWDAL,20HC Wind and Water Tight Container,Wind and Water Tight,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20HCCWDAL,20HC Cargo Worthy Container,Cargo Worthy ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20HCCLDAL,20HC IICL Container,IICL,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
20HCBNDAL,20HC Brand New Container,Brand New,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40DCASDAL,40DC AS-IS Container,AS IS ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40DCWWDAL,40DC Wind and Water Tight Container,Wind and Water Tight,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40DCCWDAL,40DC Cargo Worthy Container,Cargo Worthy ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40DCCLDAL,40DC IICL Container,IICL,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40DCBNDAL,40DC Brand New Container,Brand New,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40HCASDAL,40HC AS-IS Container,AS IS ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40HCWWDAL,40HC Wind and Water Tight Container,Wind and Water Tight,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40HCCWDAL,40HC Cargo Worthy Container,Cargo Worthy ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40HCCLDAL,40HC IICL Container,IICL,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
40HCBNDAL,40HC Brand New Container,Brand New,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
45HCASDAL,45HC AS-IS Open Top Container,AS IS ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
45HCWWDAL,45HC Wind and Water Tight Container,Wind and Water Tight,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
45HCCWDAL,45HC Cargo Worthy Container,Cargo Worthy ,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
45HCCLDAL,45HC IICL Container,IICL,Dallas,Dallas,32.6439,-96.7075,2025-05-30,1,GCE,75141,2025-05-30
